I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24
10412.000000,-0.103709,-0.461234,0.018145,0.045362,-0.043593,-0.997964,2.428305,2.021030,0.278595,99.505829,117.673485,106.410362,102.761536,-0.000781,105.725594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10413.000000,-0.123865,-0.449948,0.007150,0.045310,-0.043603,-0.998031,2.428280,2.021047,0.278582,99.505829,117.673485,106.410362,102.761536,-0.000604,105.725594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10414.000000,-0.143158,-0.435278,-0.001008,0.045252,-0.043596,-0.998083,2.428236,2.021076,0.278570,99.505829,117.673485,106.410362,102.761536,-0.000429,105.725594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10415.000000,-0.157351,-0.419855,-0.003912,0.045194,-0.043590,-0.998123,2.428177,2.021118,0.278559,99.505829,117.673485,106.410362,102.761536,-0.000258,105.725594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10416.000000,-0.163399,-0.406847,-0.002396,0.045151,-0.043618,-0.998167,2.428112,2.021172,0.278549,99.505829,117.673485,106.410362,102.761536,-0.000091,105.725594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10417.000000,-0.160340,-0.397230,0.001598,0.045126,-0.043633,-0.998196,2.428051,2.021235,0.278538,99.505829,117.673485,106.410362,102.761536,0.000074,105.725594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10418.000000,-0.149520,-0.390041,0.006814,0.045092,-0.043644,-0.998195,2.428003,2.021303,0.278529,99.505829,117.673485,106.410362,102.761536,0.000235,105.725594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10421.000000,-0.135233,-0.385080,0.012268,0.045069,-0.043696,-0.998194,2.427969,2.021376,0.278519,101.502815,117.673050,100.419762,106.755569,0.000453,106.001503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10422.000000,-0.122128,-0.383643,0.017936,0.045054,-0.043764,-0.998182,2.427951,2.021449,0.278510,101.502815,117.673050,100.419762,106.755569,0.000667,106.001503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10423.000000,-0.089760,-0.401859,0.043939,0.044995,-0.044009,-0.998077,2.427980,2.021636,0.278481,101.502815,117.673050,100.419762,106.755569,0.001284,106.001503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10424.000000,-0.079020,-0.411009,0.053039,0.044974,-0.044087,-0.998064,2.428017,2.021679,0.278471,101.502815,117.673050,100.419762,106.755569,0.001482,106.001503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10425.000000,-0.069497,-0.419399,0.058764,0.044967,-0.044159,-0.998067,2.428066,2.021714,0.278460,101.502815,117.673050,100.419762,106.755569,0.001676,106.001503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10426.000000,-0.063538,-0.426771,0.060171,0.044967,-0.044200,-0.998053,2.428121,2.021741,0.278449,101.502815,117.673050,100.419762,106.755569,0.001866,106.001503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10427.000000,-0.062504,-0.433673,0.057662,0.044973,-0.044225,-0.998047,2.428180,2.021762,0.278439,101.502815,117.673050,100.419762,106.755569,0.002053,106.001503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10428.000000,-0.065394,-0.440023,0.051850,0.044979,-0.044254,-0.998030,2.428236,2.021777,0.278427,101.502815,117.673050,100.419762,106.755569,0.002236,106.001503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10431.000000,-0.070506,-0.445835,0.043863,0.044996,-0.044262,-0.998026,2.428286,2.021786,0.278416,95.512032,116.674179,100.420074,102.761436,0.002152,105.310440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10432.000000,-0.084767,-0.451951,0.025083,0.045038,-0.044214,-0.998047,2.428365,2.021797,0.278393,95.512032,116.674179,100.420074,102.761436,0.001988,105.310440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10433.000000,-0.098970,-0.441980,0.003401,0.045085,-0.044055,-0.998106,2.428406,2.021822,0.278369,95.512032,116.674179,100.420074,102.761436,0.001831,105.310440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10434.000000,-0.105671,-0.434226,-0.005532,0.045106,-0.043992,-0.998128,2.428412,2.021847,0.278358,95.512032,116.674179,100.420074,102.761436,0.001754,105.310440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10435.000000,-0.112192,-0.428118,-0.011970,0.045121,-0.043948,-0.998138,2.428411,2.021878,0.278347,95.512032,116.674179,100.420074,102.761436,0.001679,105.310440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10436.000000,-0.115964,-0.425600,-0.016445,0.045124,-0.043905,-0.998151,2.428404,2.021912,0.278336,95.512032,116.674179,100.420074,102.761436,0.001605,105.310440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10437.000000,-0.115295,-0.427513,-0.018943,0.045136,-0.043879,-0.998164,2.428396,2.021945,0.278325,95.512032,116.674179,100.420074,102.761436,0.001532,105.310440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10438.000000,-0.110616,-0.433214,-0.019335,0.045150,-0.043867,-0.998186,2.428394,2.021972,0.278313,95.512032,116.674179,100.420074,102.761436,0.001461,105.310440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10442.000000,-0.103059,-0.441086,-0.017881,0.045160,-0.043853,-0.998213,2.428398,2.021991,0.278302,95.512077,118.671021,101.418655,105.756744,0.001401,105.319778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10443.000000,-0.061761,-0.455596,0.009629,0.045193,-0.043803,-0.998407,2.428508,2.022016,0.278252,95.512077,118.671021,101.418655,105.756744,0.001175,105.319778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10444.000000,-0.049683,-0.448992,0.015224,0.045190,-0.043809,-0.998451,2.428563,2.022028,0.278240,95.512077,118.671021,101.418655,105.756744,0.001120,105.319778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10445.000000,-0.038825,-0.440657,0.016502,0.045190,-0.043822,-0.998485,2.428630,2.022049,0.278228,95.512077,118.671021,101.418655,105.756744,0.001067,105.319778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10446.000000,-0.031511,-0.432939,0.013471,0.045203,-0.043831,-0.998505,2.428704,2.022077,0.278217,95.512077,118.671021,101.418655,105.756744,0.001015,105.319778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10447.000000,-0.029531,-0.427015,0.008740,0.045217,-0.043848,-0.998501,2.428781,2.022112,0.278206,95.512077,118.671021,101.418655,105.756744,0.000963,105.319778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10448.000000,-0.033822,-0.422112,0.004587,0.045233,-0.043871,-0.998491,2.428854,2.022153,0.278195,95.512077,118.671021,101.418655,105.756744,0.000913,105.319778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
