I0,I1,I2,I3,I4,I5,I6
20809.000000,-8.395494,21.895277,3.106015,-0.028809,0.036133,-0.834473
20809.000000,-8.395494,21.895277,3.106015,-0.028809,0.036133,-0.834473
20810.000000,-9.188176,3.907472,4.447479,0.050293,0.170410,0.438965
20811.000000,-0.712566,-0.177893,4.325528,0.041504,-0.526855,-0.583496
20812.000000,-12.968664,-12.738869,7.008454,0.314941,0.320801,-1.552246
20813.000000,-0.163786,-5.909601,3.227967,-0.546387,-0.429199,-1.368164
20814.000000,-16.993053,-13.287649,6.337723,-0.248047,1.132324,-1.062012
20815.000000,2.214263,14.700156,2.252357,-0.087891,-0.611816,-0.965332
20816.000000,-16.810127,12.200156,6.886503,0.192871,0.846191,-0.712891
20817.000000,5.994751,4.090400,4.813333,0.203613,-0.964355,-0.784668
20818.000000,4.287434,-7.860821,4.874309,0.396973,-1.217773,-2.161621
20819.000000,4.287434,-7.860821,4.874309,0.396973,-1.217773,-2.161621
20820.000000,-17.907688,-9.629113,5.118211,-0.494141,1.078125,-1.932617
20821.000000,2.945970,8.114790,4.813333,0.406738,-1.328125,-1.191895
20822.000000,-13.883298,13.175766,5.240162,-0.961426,0.923340,-0.551758
20823.000000,4.592312,6.163570,4.325528,0.821289,-0.590332,-0.254395
20824.000000,-9.980859,-1.641308,6.581625,-0.322266,0.032227,-1.446777
20825.000000,1.970361,-12.433991,5.423089,1.085449,-0.396484,-1.247559
